Node,X,Y,U1,U2,S11,S22,S12
1.200000000000000000e+01,1.100000023841857910e+00,0.000000000000000000e+00,2.730135229001007247e-09,1.265674343109424171e-09,4.722171306610107422e+00,3.483825596049427986e-03,-1.595808076672255993e-03
1.300000000000000000e+01,1.200000047683715820e+00,0.000000000000000000e+00,2.955092615053445115e-09,1.349620970536591358e-09,4.725402832031250000e+00,4.331223666667938232e-03,-5.364647600799798965e-03
1.400000000000000000e+01,1.299999952316284180e+00,0.000000000000000000e+00,3.180328000951249123e-09,1.434711016656819993e-09,4.731502532958984375e+00,5.170580931007862091e-03,-8.336913771927356720e-03
1.500000000000000000e+01,1.399999976158142090e+00,0.000000000000000000e+00,3.405937976097561659e-09,1.521394121795083265e-09,4.739602088928222656e+00,5.979709792882204056e-03,-1.070823986083269119e-02
1.600000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,3.631988043650835607e-09,1.610051536538037453e-09,4.749074935913085938e+00,6.747808307409286499e-03,-1.261749677360057831e-02
1.700000000000000000e+01,1.600000023841857910e+00,0.000000000000000000e+00,3.858522390487451048e-09,1.701010110544132203e-09,4.759460449218750000e+00,7.470349315553903580e-03,-1.416572183370590210e-02
1.800000000000000000e+01,1.700000047683715820e+00,0.000000000000000000e+00,4.085568772183023611e-09,1.794552284550832155e-09,4.770416259765625000e+00,8.146296255290508270e-03,-1.542794331908226013e-02
1.900000000000000000e+01,1.799999952316284180e+00,0.000000000000000000e+00,4.313142287770688199e-09,1.890923639891184393e-09,4.781684398651123047e+00,8.776532486081123352e-03,-1.646088436245918274e-02
2.000000000000000000e+01,1.899999976158142090e+00,0.000000000000000000e+00,4.541250486767012262e-09,1.990339670854268661e-09,4.793071269989013672e+00,9.362934157252311707e-03,-1.730818301439285278e-02
2.100000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,4.769891148725946550e-09,2.092988893309666310e-09,4.804429054260253906e+00,9.907900355756282806e-03,-1.800377108156681061e-02
2.200000000000000000e+01,2.099999904632568359e+00,0.000000000000000000e+00,4.999058500487763013e-09,2.199038728889490812e-09,4.815645694732666016e+00,1.041400339454412460e-02,-1.857446506619453430e-02
2.300000000000000000e+01,2.200000047683715820e+00,0.000000000000000000e+00,5.228743216179054798e-09,2.308637281345227166e-09,4.826636314392089844e+00,1.088381651788949966e-02,-1.904173009097576141e-02
2.400000000000000000e+01,2.299999952316284180e+00,0.000000000000000000e+00,5.458930640855896854e-09,2.421915779038386063e-09,4.837337017059326172e+00,1.131989341229200363e-02,-1.942272670567035675e-02
2.500000000000000000e+01,2.400000095367431641e+00,0.000000000000000000e+00,5.689606563663573979e-09,2.538992127654182696e-09,4.847701072692871094e+00,1.172457542270421982e-02,-1.973164081573486328e-02
2.600000000000000000e+01,2.500000000000000000e+00,0.000000000000000000e+00,5.920752332855272471e-09,2.659970244067721978e-09,4.857694625854492188e+00,1.210014615207910538e-02,-1.997988857328891754e-02
2.700000000000000000e+01,2.599999904632568359e+00,0.000000000000000000e+00,6.152349740773388476e-09,2.784944497236097050e-09,4.867292881011962891e+00,1.244864705950021744e-02,-2.017712593078613281e-02
2.800000000000000000e+01,2.700000047683715820e+00,0.000000000000000000e+00,6.384381023849527992e-09,2.913999264109179421e-09,4.876480579376220703e+00,1.277200225740671158e-02,-2.033131383359432220e-02
2.900000000000000000e+01,2.799999952316284180e+00,0.000000000000000000e+00,6.616825309890828066e-09,3.047208929629618979e-09,4.885249137878417969e+00,1.307202037423849106e-02,-2.044903114438056946e-02
3.000000000000000000e+01,2.900000095367431641e+00,0.000000000000000000e+00,6.849663058972055296e-09,3.184642327624942482e-09,4.893593788146972656e+00,1.335028279572725296e-02,-2.053605206310749054e-02
3.100000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,7.082873842989556579e-09,3.326359188093874764e-09,4.901515483856201172e+00,1.360835228115320206e-02,-2.059701457619667053e-02
3.200000000000000000e+01,3.099999904632568359e+00,0.000000000000000000e+00,7.316438566107308361e-09,3.472414578098437232e-09,4.909018516540527344e+00,1.384757738560438156e-02,-2.063609659671783447e-02
